[DEBUG] 2016-04-06 16:04:58:0155 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/start_platform_scripts.php | 53 | 288224 | Trying to check available modules
[INFO ] 2016-04-06 16:04:58:0155 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/check_avail_modules.php | 10 | 290200 | Got this file
[DEBUG] 2016-04-06 16:04:58:0158 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/check_avail_modules.php | 21 | 294520 | Data about modules received: installed 5, enabled 5
[DEBUG] 2016-04-06 16:04:58:0159 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/start_platform_scripts.php | 56 | 292608 | Trying to get browser
[INFO ] 2016-04-06 16:04:58:0159 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/browser.php | 15 | 294480 | Got this file
[DEBUG] 2016-04-06 16:04:58:0163 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/browser.php | 51 | 295608 | Browser matched:chrome version 39.0.2171.95
[DEBUG] 2016-04-06 16:04:58:0164 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/start_platform_scripts.php | 59 | 293776 | Trying to check if it is bot
[INFO ] 2016-04-06 16:04:58:0164 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/check_bots.php | 2 | 295768 | Got this file
[DEBUG] 2016-04-06 16:04:58:0165 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/start_platform_scripts.php | 62 | 297944 | Trying to found injection
[INFO ] 2016-04-06 16:04:58:0165 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/check_injection.php | 3 | 299888 | Got this file
[DEBUG] 2016-04-06 16:04:58:0166 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/start_platform_scripts.php | 68 | 298896 | Trying to get page from get
[INFO ] 2016-04-06 16:04:58:0166 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/pagefromget.php | 2 | 300816 | Got this file
[INFO ] 2016-04-06 16:04:58:0167 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/functions/process_user_data.php | 2 | 302808 | Got this file
[INFO ] 2016-04-06 16:04:58:0167 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/checkuserrole.php | 2 | 303608 | Got this file
[INFO ] 2016-04-06 16:04:58:0167 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/checkuserrole.php | 5 | 303608 | Users data received
[INFO ] 2016-04-06 16:04:58:0168 | erasc.popwebstudio.ru | 188.64.146.64 | admin | core/checkuserrole.php | 51 | 304792 | Login parameters checked succeed.
[INFO ] 2016-04-06 16:04:58:0168 | erasc.popwebstudio.ru | 188.64.146.64 | admin | core/checkuserrole.php | 66 | 304792 | Login by email.
[DEBUG] 2016-04-06 16:04:58:0171 | erasc.popwebstudio.ru | 188.64.146.64 | admin | core/checkuserrole.php | 77 | 306176 | Try to find user with 'SELECT * FROM `erasc-users` WHERE `contactmail`='admin' and `password`='a906449d5769fa7361d7ecc6aa3f6d28' -- 2053810182;'
[INFO ] 2016-04-06 16:04:58:0171 | erasc.popwebstudio.ru | 188.64.146.64 | admin | core/checkuserrole.php | 139 | 305672 | Auth not successful
[DEBUG] 2016-04-06 16:04:58:0173 | erasc.popwebstudio.ru | 188.64.146.64 | admin | core/checkuserrole.php | 160 | 306016 | Show message to user: 
[DEBUG] 2016-04-06 16:04:58:0173 | erasc.popwebstudio.ru | 188.64.146.64 | admin | core/checkuserrole.php | 184 | 306016 | Userrole is guest
[DEBUG] 2016-04-06 16:04:58:0175 | erasc.popwebstudio.ru | 188.64.146.64 | admin | core/pagefromget.php | 35 | 311264 | Page is admin_hello
